# Randomly generate gene expression data
ENSEMBL_Gene_ID	fold_changes	adjusted_p_values	gene_length	chromosome
ENSG0000000068	0.1621013181142625	0.6019	31622	Chr9
ENSG0000000069	-6.280434267240812	0.4484	16371	Chr4
ENSG0000000070	8.760191284770517	0.8481	392	Chr1
ENSG0000000071	2.5651139213406964	0.4397	56066	Chr5
ENSG0000000072	2.4847387212395318	0.5259	16689	Chr12
ENSG0000000073	-0.33371858285018585	0.6101	57471	Chr17
ENSG0000000074	-5.800018572183893	0.4608	38884	Chr23
ENSG0000000075	4.260110004226884	0.3383	15994	Chr10
ENSG0000000076	8.113764670088937	0.9778	51244	Chr9
ENSG0000000077	-6.946386376545992	0.166	14024	Chr16
ENSG0000000078	-2.0294510052500354	0.8398	88015	Chr12
ENSG0000000079	-1.4880885513598476	0.301	28707	Chr18
ENSG0000000080	3.114064351664058	0.9258	55646	Chr14
ENSG0000000081	-7.557488839836479	0.9173	3987	Chr14
ENSG0000000082	3.0061734052527207	0.9232	45395	Chr5
ENSG0000000083	-1.9864538148603081	0.5231	61448	Chr21
ENSG0000000084	-5.465555128551113	0.3497	11315	Chr6
ENSG0000000085	-10.203306805870094	0.8113	127952	Chr3
ENSG0000000086	-2.909036760812947	0.9297	57373	Chr17
ENSG0000000087	-9.52424158172094	0.1815	35967	Chr21
ENSG0000000088	-0.9561711842318648	0.3873	66825	Chr18
ENSG0000000089	-7.448894806314653	0.5369	30429	Chr8
ENSG0000000090	-5.302651459627372	0.2886	3343	Chr12
ENSG0000000091	4.714168359956415	0.7871	42234	Chr19
ENSG0000000092	-0.8672783351321329	0.0701	95891	Chr21
ENSG0000000093	-5.566260670199853	0.221	9224	Chr11
ENSG0000000094	-5.9484243393828855	0.8302	53759	Chr13
ENSG0000000095	-4.181217531805135	0.9976	48813	Chr13
ENSG0000000096	2.2047294085525433	0.9774	9496	Chr5
ENSG0000000097	2.619440434835814	0.3069	34288	Chr2
ENSG0000000098	-11.541068645119687	0.9318	68637	Chr9
ENSG0000000099	0.7791084607751746	0.8458	39737	Chr18
ENSG0000000100	0.6735839078615198	0.6294	89197	Chr12
ENSG0000000101	-3.869755781215287	0.9789	45888	Chr14
ENSG0000000102	-3.2995651036785247	0.4489	74835	Chr6
ENSG0000000103	-2.004953219822378	0.3926	47006	Chr5
ENSG0000000104	-0.034136591521865586	0.1922	59215	Chr1
ENSG0000000105	-0.8316710068011496	0.5088	7767	Chr23
ENSG0000000106	2.5445305410113015	0.8725	38197	Chr11
ENSG0000000107	5.3408192466423055	0.0143	61014	Chr9
ENSG0000000108	-8.041288566213593	0.4646	7268	Chr13
ENSG0000000109	3.01943576007558	0.846	71690	Chr16
ENSG0000000110	1.3421784343025296	0.5826	37693	Chr19
ENSG0000000111	3.2336390839315685	0.3741	12995	Chr12
ENSG0000000112	-6.418032368398121	0.7919	10702	Chr11
ENSG0000000113	0.34072281397157766	0.4527	37270	Chr21
ENSG0000000114	3.849349882625229	0.7523	17446	Chr20
ENSG0000000115	-0.41520025679841877	0.0305	8688	Chr4
ENSG0000000116	-2.7205171303393314	0.1464	107320	Chr23
ENSG0000000117	7.272438574096849	0.3004	31807	Chr20
ENSG0000000118	-3.204759586543378	0.0737	43922	Chr1
ENSG0000000119	-0.663715332117218	0.9089	1165	Chr14
ENSG0000000120	-1.4165013617605104	0.0114	12056	Chr19
ENSG0000000121	2.121795201994953	0.329	5767	Chr19
ENSG0000000122	-4.06966955012901	0.1663	24439	Chr14
ENSG0000000123	1.3059672961912159	0.0807	6092	Chr18
ENSG0000000124	2.6602345298223904	0.6413	13876	Chr21
ENSG0000000125	4.529737198620348	0.8228	18945	Chr12
ENSG0000000126	-0.6189502427347492	0.4992	38967	Chr23
ENSG0000000127	6.131896955492776	0.2323	24354	Chr6
ENSG0000000128	-0.6515791552428525	0.4499	17075	Chr23
ENSG0000000129	-1.3208488659528228	0.2609	112627	Chr18
ENSG0000000130	-1.2198599942375756	0.1366	5449	Chr11
ENSG0000000131	6.268752335838178	0.4504	13315	Chr16
ENSG0000000132	-0.18843594072864278	0.7686	53030	Chr16
ENSG0000000133	7.225249357069922	0.8597	84400	Chr7
ENSG0000000134	8.375835184882854	0.0307	32539	Chr13
ENSG0000000135	2.7963603122453495	0.2385	3794	Chr6
ENSG0000000136	7.689248001300497	0.7069	25866	Chr21
ENSG0000000137	-6.007087864925936	0.2871	43249	Chr8
ENSG0000000138	-6.762874350806014	0.091	48994	Chr10
ENSG0000000139	2.83509683691688	0.3989	1821	Chr8
ENSG0000000140	-6.179469269379849	0.4607	68525	Chr8
ENSG0000000141	2.361979295891487	0.3207	25751	Chr20
ENSG0000000142	8.828223913551096	0.1481	42706	Chr15
ENSG0000000143	-7.898385975358019	0.3257	26383	Chr16
ENSG0000000144	0.9334430091216968	0.9878	2668	Chr9
ENSG0000000145	-4.02637012972026	0.9135	34412	Chr22
ENSG0000000146	-9.71370289708301	0.4207	107117	Chr15
ENSG0000000147	-2.0514485409947154	0.5364	68468	Chr19
ENSG0000000148	4.978922306126173	0.6822	24241	Chr22
ENSG0000000149	-2.306750501087679	0.8787	73330	Chr7
ENSG0000000150	1.714744612218785	0.4318	32232	Chr21
ENSG0000000151	-0.5119424798787974	0.5316	10353	Chr18
ENSG0000000152	-2.4882833025937523	0.8994	61348	Chr7
ENSG0000000153	-0.9628934552153061	0.6604	7250	Chr16
ENSG0000000154	6.993370672659802	0.0514	28835	Chr10
ENSG0000000155	2.888176728252143	0.9845	280	Chr1
ENSG0000000156	-1.5541161284906662	0.7096	1887	Chr16
ENSG0000000157	-0.01819000331223767	0.4471	107577	Chr8
ENSG0000000158	-0.5788322232710096	0.1131	113283	Chr2
ENSG0000000159	-1.3348365931235806	0.45	2463	Chr18
ENSG0000000160	3.7306158682934782	0.6042	70923	Chr6
ENSG0000000161	1.351307263149686	0.477	11013	Chr8
ENSG0000000162	2.341729385211938	0.9024	49633	Chr20
ENSG0000000163	-2.9749643441693867	0.8245	53629	Chr8
ENSG0000000164	-4.404919151715703	0.1424	100243	Chr20
ENSG0000000165	7.674404358283759	0.2121	13333	Chr13
ENSG0000000166	-1.2409348038158916	0.0283	70746	Chr16
ENSG0000000167	6.554632446892605	0.2967	19532	Chr8
ENSG0000000168	7.751273978960538	0.0037	13749	Chr21
ENSG0000000169	11.6171593251085	0.728	33937	Chr10
ENSG0000000170	6.532754501169401	0.8622	9239	Chr2
ENSG0000000171	5.457544414719688	0.1243	67841	Chr1
ENSG0000000172	-7.564522981871553	0.995	1474	Chr13
ENSG0000000173	-6.394846619493836	0.9755	23935	Chr7
ENSG0000000174	4.0878619362159885	0.9624	56338	Chr12
ENSG0000000175	3.227619776118154	0.408	40768	Chr15
ENSG0000000176	1.7073319333225956	0.4061	38544	Chr13
ENSG0000000177	5.796436696826431	0.8039	14283	Chr7
ENSG0000000178	-7.522158504901261	0.7267	27364	Chr7
ENSG0000000179	-1.2991986409266372	0.4165	21958	Chr17
ENSG0000000180	-5.4672430430598675	0.5817	16592	Chr4
ENSG0000000181	-8.202016013162526	0.8989	52146	Chr8
ENSG0000000182	-4.077980604066641	0.3689	35708	Chr1
ENSG0000000183	-0.11271899207108409	0.3664	33374	Chr7
ENSG0000000184	6.702164143227546	0.955	46205	Chr7
ENSG0000000185	-0.467796529071285	0.6462	72484	Chr1
ENSG0000000186	-4.21756204199431	0.3332	60202	Chr23
ENSG0000000187	3.218246073299906	0.9172	43705	Chr13
ENSG0000000188	-10.024340645627563	0.1602	1617	Chr16
ENSG0000000189	-0.8838053869037593	0.7854	22619	Chr13
ENSG0000000190	-9.195384543977227	0.5765	60634	Chr19
ENSG0000000191	-2.629791536308199	0.4305	24111	Chr14
ENSG0000000192	5.957704085806751	0.6912	33799	Chr5
ENSG0000000193	-3.007037727236856	0.4594	14612	Chr20
ENSG0000000194	2.2321349597091444	0.3674	27140	Chr12
ENSG0000000195	4.724954475576796	0.765	82262	Chr9
ENSG0000000196	6.316539283171676	0.1283	68252	Chr16
ENSG0000000197	7.434490722464036	0.5635	27149	Chr5
ENSG0000000198	5.978775487156209	0.1351	23277	Chr5
ENSG0000000199	5.704148358788265	0.2568	43266	Chr8
ENSG0000000200	-0.03433102795066954	0.0201	5634	Chr15
ENSG0000000201	-5.813437951570338	0.287	50992	Chr9
ENSG0000000202	5.26180939978604	0.6058	27248	Chr20
ENSG0000000203	-2.5177398559963997	0.3684	79518	Chr21
ENSG0000000204	6.17564764681447	0.0848	8900	Chr6
ENSG0000000205	5.966408713616	0.1324	13860	Chr8
ENSG0000000206	3.574756681840255	0.3689	8985	Chr3
ENSG0000000207	1.0632675864839345	0.3305	51417	Chr3
ENSG0000000208	3.6693512327743534	0.6915	90522	Chr5
ENSG0000000209	2.298539168838053	0.6038	189	Chr14
ENSG0000000210	-0.7352747511581239	0.1983	80768	Chr3
ENSG0000000211	3.419234355356245	0.9065	14865	Chr23
ENSG0000000212	12.799881589575424	0.4161	89827	Chr20
ENSG0000000213	8.633309327026712	0.4214	27826	Chr8
ENSG0000000214	-4.774366274944498	0.734	18488	Chr10
ENSG0000000215	1.604200718265028	0.2324	30547	Chr14
ENSG0000000216	-1.0155584083508464	0.9259	31619	Chr2
ENSG0000000217	-7.523409889491299	0.4191	6853	Chr4
ENSG0000000218	3.8034449853123315	0.7688	74826	Chr17
ENSG0000000219	-4.412261433175104	0.211	33673	Chr19
ENSG0000000220	2.5767419514342187	0.8498	22774	Chr17
ENSG0000000221	10.632811502059432	0.5056	69330	Chr23
ENSG0000000222	1.4593555631276454	0.8438	22210	Chr11
ENSG0000000223	-1.6924625215396973	0.7248	98184	Chr16
ENSG0000000224	-4.744505879433184	0.4231	20393	Chr11
ENSG0000000225	1.1357379450788152	0.9719	92969	Chr18
ENSG0000000226	-5.529160050741578	0.6363	25888	Chr6
ENSG0000000227	0.22385582172434848	0.2285	7117	Chr7
ENSG0000000228	-1.7461065901174413	0.5767	21941	Chr16
ENSG0000000229	-4.036396847024438	0.0802	35109	Chr10
ENSG0000000230	-8.872562296839844	0.1919	132523	Chr14
ENSG0000000231	3.719355973306873	0.3206	56154	Chr15
ENSG0000000232	1.011816480561061	0.2329	4292	Chr2
ENSG0000000233	-1.0514235349671395	0.9271	8870	Chr2
ENSG0000000234	0.5199659840135116	0.2133	21726	Chr6
ENSG0000000235	1.3413819928358444	0.9542	7793	Chr2
ENSG0000000236	-4.306208626906901	0.4516	41850	Chr14
ENSG0000000237	6.395156402127285	0.7457	72563	Chr11
ENSG0000000238	3.4030356587157886	0.1025	39129	Chr21
ENSG0000000239	0.10598819802014077	0.1143	20919	Chr5
ENSG0000000240	-7.886011246597532	0.478	52796	Chr11
ENSG0000000241	-2.5626611356296456	0.0837	97120	Chr4
ENSG0000000242	1.5670390432471184	0.0054	89283	Chr13
ENSG0000000243	-3.30235951368027	0.9695	100502	Chr20
ENSG0000000244	-4.0496990127315575	0.8042	92799	Chr21
ENSG0000000245	-5.6939643709877235	0.8211	101552	Chr7
ENSG0000000246	7.798143155387622	0.8858	41377	Chr9
ENSG0000000247	-1.7504246103123942	0.2816	32531	Chr12
ENSG0000000248	-6.08244154496837	0.4874	70054	Chr21
ENSG0000000249	-0.23756233833559048	0.5945	23965	Chr19
ENSG0000000250	1.9923978645085694	0.5956	9647	Chr8
ENSG0000000251	-1.1782692907960144	0.6391	34250	Chr20
ENSG0000000252	7.586010915622178	0.7304	8039	Chr23
ENSG0000000253	0.2698219199063911	0.5874	23352	Chr8
ENSG0000000254	-4.003192626106495	0.5992	62716	Chr14
ENSG0000000255	1.5561548517608	0.5861	21465	Chr6
ENSG0000000256	-9.896562043814152	0.9623	26152	Chr23
ENSG0000000257	-1.0231770162546203	0.8974	71862	Chr14
ENSG0000000258	4.6186841766071876	0.2478	69777	Chr10
ENSG0000000259	2.762052704497422	0.7291	6609	Chr14
ENSG0000000260	-7.933217167347158	0.1604	56703	Chr19
ENSG0000000261	0.9841738341900395	0.813	34211	Chr20
ENSG0000000262	3.9781636433722656	0.9312	12381	Chr12
ENSG0000000263	-0.032858241697192	0.1971	28359	Chr14
ENSG0000000264	-4.567638116847743	0.9009	19181	Chr5
ENSG0000000265	8.294023013255163	0.5842	11385	Chr6
ENSG0000000266	0.0778446535242957	0.3045	49644	Chr12
ENSG0000000267	4.438598058876778	0.0432	5795	Chr12
ENSG0000000268	8.593287870269554	0.2274	87686	Chr16
ENSG0000000269	11.632335908915381	0.6887	31067	Chr15
ENSG0000000270	-4.741146620111637	0.9517	9209	Chr18
ENSG0000000271	-8.061012336064845	0.4347	57687	Chr6
ENSG0000000272	-0.1762792454471917	0.3848	44731	Chr8
ENSG0000000273	-8.493180023644939	0.7913	57987	Chr16
ENSG0000000274	1.2631259306905238	0.1995	13570	Chr23
ENSG0000000275	3.154388398535718	0.6019	46125	Chr14
ENSG0000000276	-4.839346181952126	0.9714	17347	Chr8
ENSG0000000277	8.681754488447446	0.2316	95024	Chr11
ENSG0000000278	4.937476137317126	0.9229	33329	Chr19
ENSG0000000279	-7.813641076541961	0.0939	56671	Chr10
ENSG0000000280	5.673773192142591	0.8096	69122	Chr15
ENSG0000000281	-0.939221531198945	0.034	54731	Chr6
ENSG0000000282	-4.06438791985842	0.1989	24350	Chr17
ENSG0000000283	-3.953571108261511	0.0885	9847	Chr22
ENSG0000000284	-0.3770914684290184	0.3727	19974	Chr15
ENSG0000000285	-0.6274479958135568	0.7529	12922	Chr5
ENSG0000000286	3.2715015875519953	0.7819	89526	Chr22
ENSG0000000287	-7.005667620329531	0.9711	73123	Chr7
ENSG0000000288	2.7220172759078123	0.9664	27595	Chr23
ENSG0000000289	-2.9932513293022946	0.4377	2741	Chr14
ENSG0000000290	-0.20071337351702204	0.5645	54252	Chr9
ENSG0000000291	-5.01533785318763	0.4671	65114	Chr7
ENSG0000000292	3.625795355026937	0.8548	44141	Chr16
ENSG0000000293	7.025764050302868	0.1517	143532	Chr14
ENSG0000000294	-6.475410695381482	0.6655	41917	Chr8
ENSG0000000295	-12.30439267215445	0.1054	30179	Chr19
ENSG0000000296	-2.0892842587637013	0.4004	46937	Chr15
ENSG0000000297	-3.061253748349169	0.7895	89524	Chr15
ENSG0000000298	4.102570097652466	0.6391	30590	Chr5
ENSG0000000299	4.513549814226823	0.69	18517	Chr6
ENSG0000000300	4.335872904866155	0.237	53823	Chr12
ENSG0000000301	2.0530100095647343	0.3173	43894	Chr4
ENSG0000000302	3.9464375195028847	0.4302	76417	Chr9
ENSG0000000303	3.5418117563916924	0.0819	35479	Chr7
ENSG0000000304	4.507972201535798	0.6449	92616	Chr21
ENSG0000000305	-4.545254407412382	0.5875	128361	Chr3
ENSG0000000306	-1.9404382262212803	0.7648	7167	Chr20
ENSG0000000307	-7.782425392930264	0.9741	15837	Chr11
ENSG0000000308	-4.109967130550124	0.0016	26611	Chr20
ENSG0000000309	5.3997636807199845	0.6393	2886	Chr11
ENSG0000000310	2.871875712465241	0.479	62303	Chr12
ENSG0000000311	-0.9505355612906226	0.2028	20521	Chr14
ENSG0000000312	5.729541127159113	0.9241	38514	Chr11
ENSG0000000313	-5.136626680173041	0.6335	7537	Chr19
ENSG0000000314	-9.005820166906206	0.5381	4323	Chr10
ENSG0000000315	2.182392489386213	0.6397	48104	Chr1
ENSG0000000316	1.4546454369444821	0.1921	56216	Chr12
ENSG0000000317	5.81759884106461	0.1688	50992	Chr5
ENSG0000000318	2.3714977492577147	0.6679	44339	Chr18
ENSG0000000319	3.8817004594506073	0.5196	94136	Chr13
ENSG0000000320	-2.388215209412864	0.0128	33495	Chr11
ENSG0000000321	2.671689035398548	0.2771	19906	Chr14
ENSG0000000322	4.493566687426685	0.1556	76398	Chr18
ENSG0000000323	-8.144700735268703	0.8951	68319	Chr6
ENSG0000000324	-9.260665794939287	0.4541	37189	Chr8
ENSG0000000325	8.66868283726317	0.3051	32029	Chr1
ENSG0000000326	1.3674108050072915	0.2889	96603	Chr12
ENSG0000000327	-0.48068755086849224	0.983	33581	Chr20
ENSG0000000328	-0.05506633780130049	0.4953	68967	Chr9
ENSG0000000329	0.5943742355696031	0.0839	8253	Chr8
ENSG0000000330	-2.999906743460983	0.5902	8053	Chr14
ENSG0000000331	-3.773490289349172	0.129	85044	Chr12
ENSG0000000332	-2.5253260721814486	0.2595	88221	Chr22
ENSG0000000333	2.040755546583894	0.5407	13586	Chr7
ENSG0000000334	4.3600545210254165	0.518	4611	Chr2
ENSG0000000335	11.279553335317738	0.1709	14867	Chr20
ENSG0000000336	4.183022891129652	0.9934	19206	Chr21
ENSG0000000337	-6.145284929347722	0.9895	44245	Chr5
ENSG0000000338	4.573696608332646	0.9268	16465	Chr8
ENSG0000000339	0.3034483652679259	0.7691	14722	Chr18
ENSG0000000340	7.822032559175493	0.1834	96718	Chr12
ENSG0000000341	-3.993731765254708	0.467	49312	Chr22
ENSG0000000342	0.5237047267106134	0.0787	72922	Chr3
ENSG0000000343	2.3415095346415455	0.9733	30225	Chr19
ENSG0000000344	-3.1315766746030045	0.5732	31496	Chr2
ENSG0000000345	1.6867283112184264	0.4171	46840	Chr17
ENSG0000000346	5.460573117695912	0.9247	16264	Chr22
ENSG0000000347	7.288427407503184	0.287	68552	Chr18
ENSG0000000348	-5.947433320993686	0.5646	37127	Chr6
ENSG0000000349	-7.962738960476983	0.0866	60441	Chr4
ENSG0000000350	-4.942964248649757	0.954	39194	Chr16
ENSG0000000351	-9.26187499401909	0.1159	32473	Chr13
ENSG0000000352	-3.479496707564264	0.5699	51339	Chr19
ENSG0000000353	4.151730376690576	0.159	45002	Chr18
ENSG0000000354	5.401591642101878	0.3569	61052	Chr7
ENSG0000000355	-5.09616201030425	0.9368	16086	Chr11
ENSG0000000356	1.4647627793013929	0.6807	12677	Chr23
ENSG0000000357	12.166006506177647	0.5918	89094	Chr20
ENSG0000000358	-7.878297790815761	0.998	45963	Chr20
ENSG0000000359	-1.1721821215843407	0.4778	2616	Chr9
ENSG0000000360	-2.965115408362067	0.5249	67397	Chr3
ENSG0000000361	3.9423965141288635	0.3108	89128	Chr9
ENSG0000000362	1.563262184389582	0.9837	2678	Chr5
ENSG0000000363	-0.8435753512797666	0.259	31244	Chr11
ENSG0000000364	-2.2239847554933263	0.4395	76857	Chr23
ENSG0000000365	-1.4155389495756787	0.8277	39076	Chr6
ENSG0000000366	-7.246214039800572	0.1244	56382	Chr11
ENSG0000000367	2.7673533116551456	0.552	16332	Chr7
ENSG0000000368	-0.4021484410148827	0.2172	49117	Chr17
ENSG0000000369	-4.275142552093326	0.1983	4725	Chr19
ENSG0000000370	-7.214582592929557	0.0687	15253	Chr4
ENSG0000000371	0.16084991354586464	0.986	45169	Chr19
ENSG0000000372	-8.351750590181004	0.1862	59407	Chr18
ENSG0000000373	-5.809205333539589	0.5572	62282	Chr10
ENSG0000000374	-9.149281444069603	0.4336	1491	Chr16
ENSG0000000375	0.7998659804138599	0.4874	128608	Chr12
ENSG0000000376	4.094906748372898	0.7785	37449	Chr20
ENSG0000000377	3.4727084740772556	0.1759	11316	Chr11
ENSG0000000378	-5.115834202434401	0.3941	3609	Chr3
ENSG0000000379	2.7606759725521552	0.9529	34146	Chr17
ENSG0000000380	-6.451424585047004	0.5382	9361	Chr1
ENSG0000000381	-6.144391835799937	0.3409	101913	Chr5
ENSG0000000382	2.509051112940006	0.6734	54823	Chr11
ENSG0000000383	6.9779807782588765	0.5989	54919	Chr4
ENSG0000000384	-2.653079185139362	0.2034	40396	Chr15
ENSG0000000385	7.967678057930806	0.3302	85085	Chr2
ENSG0000000386	-3.7406192243431735	0.0199	1752	Chr4
ENSG0000000387	-2.1012543052909365	0.7334	46051	Chr18
ENSG0000000388	2.7547643408038383	0.5684	99042	Chr15
ENSG0000000389	1.961120959407778	0.2972	54723	Chr18
ENSG0000000390	-2.5510089650318153	0.9235	59746	Chr12
ENSG0000000391	2.1761033427956966	0.1401	76015	Chr15
ENSG0000000392	0.5427912464214348	0.6147	85014	Chr8
ENSG0000000393	-1.8728227421007793	0.9425	6188	Chr23
ENSG0000000394	2.303688877095586	0.9443	15275	Chr2
ENSG0000000395	5.5523554667757065	0.8484	7874	Chr11
ENSG0000000396	4.862965033769639	0.8737	59035	Chr1
ENSG0000000397	-3.3540139508682154	0.2302	48346	Chr7
ENSG0000000398	2.0737774664199433	0.2805	19925	Chr4
ENSG0000000399	0.2472796924073953	0.293	13935	Chr14
ENSG0000000400	3.732894460346743	0.7636	30748	Chr8
ENSG0000000401	6.16191067753487	0.924	100074	Chr7
ENSG0000000402	-10.139777986293756	0.6015	8716	Chr13
ENSG0000000403	4.250108352800098	0.6142	29536	Chr21
ENSG0000000404	2.1545634808821994	0.9898	51535	Chr21
ENSG0000000405	0.20453312758387443	0.2265	26906	Chr19
ENSG0000000406	0.275568997987086	0.2632	23876	Chr1
ENSG0000000407	0.9166603490112744	0.3801	37048	Chr14
ENSG0000000408	-0.6448816795993167	0.5422	15044	Chr13
ENSG0000000409	2.239893998863783	0.1269	44871	Chr22
ENSG0000000410	-0.480048420703592	0.3861	6313	Chr5
ENSG0000000411	-3.521801740031223	0.6187	2388	Chr9
ENSG0000000412	0.4437231212514583	0.3393	3237	Chr12
ENSG0000000413	8.42940858960458	0.1914	64956	Chr10
ENSG0000000414	-0.29352726235187204	0.8666	2843	Chr18
ENSG0000000415	-2.2766530191666834	0.8858	61284	Chr4
ENSG0000000416	-0.06075508744499052	0.7042	92373	Chr18
ENSG0000000417	2.185270152110898	0.1347	71525	Chr17
ENSG0000000418	-4.538433785996868	0.7641	24801	Chr19
ENSG0000000419	1.1091938236202852	0.7346	64155	Chr17
ENSG0000000420	-1.271346251380556	0.6777	7772	Chr2
ENSG0000000421	-5.701741942235872	0.8998	5388	Chr9
ENSG0000000422	-7.062759283556314	0.2623	146407	Chr16
ENSG0000000423	-1.2107995200536943	0.3316	44191	Chr23
ENSG0000000424	-5.781346097271566	0.3091	40982	Chr21
ENSG0000000425	1.3636443983531348	0.6626	69050	Chr5
ENSG0000000426	-2.323500985565608	0.3588	96054	Chr2
ENSG0000000427	-4.514334785058201	0.531	84793	Chr3
ENSG0000000428	-2.0011459381860868	0.6338	10322	Chr13
ENSG0000000429	-5.362531400404295	0.9816	75172	Chr11
ENSG0000000430	-3.5007581985608964	0.7887	77216	Chr11
ENSG0000000431	-2.4906388660324676	0.3776	64872	Chr12
ENSG0000000432	-2.2118623514041515	0.2457	7916	Chr5
ENSG0000000433	6.805898365717179	0.8645	15985	Chr17
ENSG0000000434	-2.341316763357206	0.4715	52881	Chr17
ENSG0000000435	0.30224514190185964	0.1839	28083	Chr22
ENSG0000000436	1.6218384628579807	0.5244	93405	Chr20
ENSG0000000437	-2.525383307043088	0.8585	14152	Chr22
ENSG0000000438	6.90558578575285	0.5497	43841	Chr2
ENSG0000000439	-0.9426233890439563	0.9361	28163	Chr20
ENSG0000000440	-1.0947501158357635	0.1519	49813	Chr15
ENSG0000000441	-4.06014388986357	0.3347	77105	Chr9
ENSG0000000442	2.778698438332575	0.2253	15810	Chr22
ENSG0000000443	-0.7141482392706897	0.278	1153	Chr21
ENSG0000000444	1.8272148819904088	0.9853	2594	Chr14
ENSG0000000445	4.700728129547433	0.6223	3318	Chr12
ENSG0000000446	0.17279708209997552	0.6378	10299	Chr14
ENSG0000000447	1.6770617666239305	0.0735	9269	Chr22
ENSG0000000448	-0.9018995263093672	0.1094	35920	Chr21
ENSG0000000449	-4.589163972107404	0.5355	46851	Chr15
ENSG0000000450	6.160324284821439	0.302	10665	Chr14
