# Randomly generate gene expression data
ENSEMBL_Gene_ID	fold_change	adjusted_p_value	gene_length	chromosome
ENSG0000000092	4.6831425018323065	0.2252	2109	Chr14
ENSG0000000093	7.0466266492019	0.3399	47617	Chr15
ENSG0000000094	4.876916713475856	0.3703	15807	Chr6
ENSG0000000095	6.25537640512956	0.7887	9043	Chr20
ENSG0000000096	1.532307820042496	0.2338	45094	Chr4
ENSG0000000097	3.246103091322852	0.4759	20298	Chr16
ENSG0000000098	4.487935607097261	0.1443	60370	Chr13
ENSG0000000099	-5.550700100599485	0.3268	44505	Chr15
ENSG0000000100	-0.6840696423339022	0.1699	18986	Chr23
ENSG0000000101	-1.8333268815893144	0.4389	19226	Chr18
ENSG0000000102	-1.635852629289133	0.2515	40948	Chr20
ENSG0000000103	6.589920821252052	0.8365	552	Chr19
ENSG0000000104	-4.906285531673868	0.7483	21815	Chr14
ENSG0000000105	-1.171298640308694	0.322	33734	Chr18
ENSG0000000106	3.966687705317733	0.7725	48763	Chr1
ENSG0000000107	-3.701252167770747	0.8259	77770	Chr21
ENSG0000000108	-3.8962947220445514	0.1635	14397	Chr22
ENSG0000000109	-1.2340769913998881	0.4799	105723	Chr14
ENSG0000000110	-14.32456679687382	0.0287	37904	Chr9
ENSG0000000111	0.5441159118002321	0.9048	14427	Chr23
ENSG0000000112	-1.58936921041818	0.3825	62316	Chr5
ENSG0000000113	-3.849133896398833	0.0169	74492	Chr12
ENSG0000000114	-3.05901352370015	0.2702	69686	Chr19
ENSG0000000115	-5.907045988342183	0.1993	46665	Chr20
ENSG0000000116	-0.5298859410350825	0.5601	1271	Chr14
ENSG0000000117	4.953842597913567	0.1842	75963	Chr10
ENSG0000000118	4.24478355988467	0.461	21937	Chr7
ENSG0000000119	8.552673769255373	0.5696	31226	Chr14
ENSG0000000120	1.9257904033999846	0.7174	65280	Chr22
ENSG0000000121	0.18370654593339125	0.4307	18549	Chr9
ENSG0000000122	-6.831877331124202	0.9514	23008	Chr12
ENSG0000000123	12.013179241555259	0.7839	49274	Chr1
ENSG0000000124	5.502192799755901	0.5828	9402	Chr8
ENSG0000000125	2.952470824372353	0.7288	116801	Chr5
ENSG0000000126	-0.4555814674535369	0.3997	6825	Chr3
ENSG0000000127	4.683649359835776	0.3792	3270	Chr9
ENSG0000000128	8.111662064582465	0.5642	74780	Chr3
ENSG0000000129	5.277477711155315	0.2341	68735	Chr18
ENSG0000000130	6.942772081021036	0.8902	88126	Chr11
ENSG0000000131	1.694226310917926	0.0236	12902	Chr8
ENSG0000000132	0.39569144909816156	0.0599	46405	Chr21
ENSG0000000133	-1.2475331527436777	0.0201	35131	Chr4
ENSG0000000134	-3.5337240534976857	0.2558	15454	Chr22
ENSG0000000135	-10.713881364630598	0.5687	45454	Chr6
ENSG0000000136	0.31414143395835153	0.3889	139530	Chr9
ENSG0000000137	5.058494170823305	0.5934	53313	Chr6
ENSG0000000138	2.7158165287650116	0.0716	2088	Chr18
ENSG0000000139	0.060876234949030154	0.5156	32804	Chr15
ENSG0000000140	7.236433589422785	0.1172	21368	Chr16
ENSG0000000141	-1.5371011339622342	0.7933	118687	Chr10
ENSG0000000142	-5.386515042219956	0.7557	61019	Chr18
ENSG0000000143	-2.826299849708379	0.4433	63811	Chr8
ENSG0000000144	-8.739670380046451	0.6352	40721	Chr12
ENSG0000000145	-6.068243279505753	0.9058	31337	Chr13
ENSG0000000146	0.43478300604794673	0.7709	67167	Chr15
ENSG0000000147	2.4777515749897763	0.2355	13722	Chr23
ENSG0000000148	3.0059850635591907	0.7666	38953	Chr14
ENSG0000000149	-4.014480199658033	0.9426	10959	Chr12
ENSG0000000150	-0.9047748296358616	0.4159	24653	Chr12
ENSG0000000151	-2.7471758290231394	0.978	45759	Chr9
ENSG0000000152	-1.6421977607827107	0.1745	89224	Chr7
ENSG0000000153	0.661677114739052	0.7604	6215	Chr21
ENSG0000000154	-2.433897368879423	0.1837	41422	Chr13
ENSG0000000155	-5.238171127456782	0.657	32402	Chr8
ENSG0000000156	-2.578877465319258	0.7533	58522	Chr3
ENSG0000000157	-0.31840183813917944	0.6076	7249	Chr5
ENSG0000000158	-8.170125440148054	0.991	66973	Chr10
ENSG0000000159	0.7304805126807363	0.5872	7652	Chr23
ENSG0000000160	3.569350105449235	0.7068	20379	Chr5
ENSG0000000161	-8.669738548689391	0.2181	26062	Chr15
ENSG0000000162	-0.38753831612641176	0.8611	31440	Chr18
ENSG0000000163	5.825205216627954	0.7224	26921	Chr11
ENSG0000000164	-6.0021742528687625	0.4431	43904	Chr12
ENSG0000000165	6.919658089353492	0.5512	33556	Chr12
ENSG0000000166	-1.1989924650833175	0.2622	22782	Chr11
ENSG0000000167	6.599303008910468	0.6513	49232	Chr10
ENSG0000000168	-0.6059265307769681	0.3173	75632	Chr5
ENSG0000000169	-4.536292004731378	0.8769	52714	Chr17
ENSG0000000170	9.809761182759464	0.1609	40252	Chr8
ENSG0000000171	6.5532071017234514	0.1064	56060	Chr5
ENSG0000000172	4.950498535070504	0.5491	25862	Chr20
ENSG0000000173	-1.4870801188033622	0.3432	21399	Chr19
ENSG0000000174	-2.343561154265497	0.8078	117452	Chr1
ENSG0000000175	-3.1795600913581996	0.7318	32139	Chr7
ENSG0000000176	-0.7420333583811263	0.7828	39371	Chr14
ENSG0000000177	-1.2721122265314613	0.8233	36305	Chr9
ENSG0000000178	1.0368390508042982	0.5481	7656	Chr18
ENSG0000000179	-2.5325659162252236	0.3518	56169	Chr6
ENSG0000000180	9.84701893334231	0.1245	27556	Chr6
ENSG0000000181	9.840227078918861	0.6346	30282	Chr14
ENSG0000000182	-8.484309689800707	0.775	19177	Chr7
ENSG0000000183	4.3634217760157785	0.6809	81041	Chr11
ENSG0000000184	0.27401043792629937	0.9081	104358	Chr7
ENSG0000000185	-9.675984858935156	0.4905	42866	Chr4
ENSG0000000186	10.193543999656134	0.2838	83743	Chr4
ENSG0000000187	-5.966479558910359	0.4993	3517	Chr5
ENSG0000000188	8.02988849900905	0.362	1171	Chr18
ENSG0000000189	2.4686093611947695	0.8918	5895	Chr23
ENSG0000000190	-3.2662977524923464	0.8296	44876	Chr3
ENSG0000000191	7.013716955704687	0.8826	2642	Chr20
ENSG0000000192	11.454148565761134	0.1695	60454	Chr1
ENSG0000000193	-2.5497733701541896	0.0755	119	Chr13
ENSG0000000194	-2.571213158767518	0.9186	16582	Chr11
ENSG0000000195	-1.3781583671209028	0.6829	79883	Chr10
ENSG0000000196	2.86775684393868	0.733	34567	Chr6
ENSG0000000197	-5.245443749233939	0.456	91441	Chr14
ENSG0000000198	5.874018020340136	0.7194	36775	Chr17
ENSG0000000199	-4.248563650518572	0.1699	90928	Chr1
ENSG0000000200	-4.516769399286152	0.8124	83663	Chr2
ENSG0000000201	0.7578002969191184	0.2634	16565	Chr23
ENSG0000000202	2.610938982430077	0.9326	42427	Chr17
ENSG0000000203	2.693168129306711	0.8256	97416	Chr21
ENSG0000000204	7.295718000486153	0.3853	6748	Chr19
ENSG0000000205	7.916710578747336	0.8687	47474	Chr6
ENSG0000000206	-4.850183616101933	0.7705	53748	Chr5
ENSG0000000207	5.7670119101373984	0.4101	93216	Chr4
ENSG0000000208	-3.489388429597943	0.1343	80890	Chr7
ENSG0000000209	0.5694668559793112	0.3212	15528	Chr9
ENSG0000000210	3.857223655478726	0.5464	27773	Chr19
ENSG0000000211	-4.413272359453103	0.3495	32948	Chr9
ENSG0000000212	-11.566639278650847	0.256	55861	Chr16
ENSG0000000213	-7.138190281414884	0.0573	83858	Chr2
ENSG0000000214	-4.390111178262294	0.7825	53999	Chr10
ENSG0000000215	-6.213834464539657	0.2476	12166	Chr23
ENSG0000000216	-3.3936056230960387	0.8845	23128	Chr19
ENSG0000000217	0.7570530085483341	0.2904	61327	Chr14
ENSG0000000218	-3.492726103636627	0.4946	4776	Chr23
ENSG0000000219	2.1271894447916506	0.091	499	Chr21
ENSG0000000220	-6.353197748270092	0.8062	57805	Chr19
ENSG0000000221	-3.5778695320045455	0.4199	12035	Chr7
ENSG0000000222	-0.6165563701526393	0.6973	48967	Chr22
ENSG0000000223	-0.05710933675076115	0.4762	21512	Chr23
ENSG0000000224	-1.4759092623962367	0.1104	6173	Chr6
ENSG0000000225	-3.0634656285674904	0.4716	5925	Chr17
ENSG0000000226	12.209634482111529	0.1311	36097	Chr16
ENSG0000000227	5.211812669367061	0.7252	37600	Chr22
ENSG0000000228	-0.1257420801337669	0.938	23203	Chr18
ENSG0000000229	-1.9724801763317155	0.9286	31522	Chr10
ENSG0000000230	-3.2737917754478163	0.5064	72250	Chr21
ENSG0000000231	-2.9904856833328743	0.0427	20816	Chr12
ENSG0000000232	0.09077957064494095	0.1931	8756	Chr22
ENSG0000000233	-4.152640225255102	0.9183	40636	Chr12
ENSG0000000234	-4.70736665218351	0.0535	3301	Chr17
ENSG0000000235	-2.427793933183035	0.9002	17336	Chr4
ENSG0000000236	-13.130153282438075	0.6129	11173	Chr12
ENSG0000000237	4.663923249386844	0.6524	6363	Chr10
ENSG0000000238	-3.526591013572662	0.4664	10346	Chr6
ENSG0000000239	-1.455810374600428	0.8524	96898	Chr8
ENSG0000000240	8.836770342240587	0.0307	77298	Chr10
ENSG0000000241	0.5477357385236871	0.5706	26214	Chr19
ENSG0000000242	-3.0496891592055206	0.1052	47137	Chr23
ENSG0000000243	-9.177713069034604	0.8418	1030	Chr17
ENSG0000000244	-0.5331407617681734	0.7391	2261	Chr16
ENSG0000000245	-1.1805964077756328	0.3145	30415	Chr11
ENSG0000000246	1.4535402904354078	0.5115	44524	Chr7
ENSG0000000247	1.2310494353132797	0.3147	19424	Chr11
ENSG0000000248	8.473776592384832	0.3058	91085	Chr2
ENSG0000000249	-3.7032179522034667	0.2121	17981	Chr16
ENSG0000000250	-5.487741714742846	0.6342	55445	Chr10
ENSG0000000251	-8.238572761754002	0.1829	8278	Chr20
ENSG0000000252	-4.267691532914993	0.1765	27735	Chr10
ENSG0000000253	-4.082312553711704	0.6513	62705	Chr7
ENSG0000000254	-6.245799742121245	0.3282	37286	Chr7
ENSG0000000255	-1.0620210148142861	0.5792	62541	Chr19
ENSG0000000256	1.4580971075443907	0.4835	77048	Chr19
ENSG0000000257	-2.6912210253175046	0.9453	69875	Chr5
ENSG0000000258	10.886093120855842	0.2037	46026	Chr3
ENSG0000000259	6.337164422086758	0.86	47356	Chr7
ENSG0000000260	0.720265985697663	0.0472	3170	Chr2
ENSG0000000261	-8.176088962062092	0.5919	2724	Chr12
ENSG0000000262	1.8640541294515849	0.2774	18084	Chr12
ENSG0000000263	-4.79362839846576	0.522	27122	Chr20
ENSG0000000264	7.651170195017901	0.7879	6300	Chr22
ENSG0000000265	-7.256336347426947	0.6664	70414	Chr3
ENSG0000000266	4.530170679297096	0.42	30587	Chr15
ENSG0000000267	0.4842361047245353	0.4567	38486	Chr12
ENSG0000000268	4.574185341968325	0.0394	26779	Chr13
ENSG0000000269	-15.25463591030527	0.5999	32760	Chr3
ENSG0000000270	-0.6289882856965218	0.9125	53249	Chr4
ENSG0000000271	1.8079574144899277	0.9916	54589	Chr8
ENSG0000000272	-9.74112142739296	0.7762	38041	Chr2
ENSG0000000273	-7.1736106360789815	0.7812	22325	Chr8
ENSG0000000274	5.682660007691486	0.1551	15844	Chr13
ENSG0000000275	-2.418153907294503	0.0674	8977	Chr21
ENSG0000000276	-2.327319302195486	0.4612	8532	Chr20
ENSG0000000277	-8.457060217021471	0.4957	6663	Chr4
ENSG0000000278	-0.742917348688116	0.9318	12623	Chr12
ENSG0000000279	4.524840590836156	0.9455	24254	Chr21
ENSG0000000280	1.3665778911350315	0.5547	31698	Chr19
ENSG0000000281	-1.7286775399048337	0.6587	37771	Chr15
ENSG0000000282	-6.193632034291304	0.7653	20535	Chr5
ENSG0000000283	-1.1357136997492903	0.4179	28485	Chr15
ENSG0000000284	5.401098707372664	0.7596	2078	Chr21
ENSG0000000285	4.328564564150421	0.5066	46747	Chr5
ENSG0000000286	-2.9512292114207566	0.872	23133	Chr21
ENSG0000000287	-2.915781158814395	0.0558	81829	Chr13
ENSG0000000288	0.3558784707729032	0.1391	27799	Chr6
ENSG0000000289	0.9131293612677799	0.1023	86197	Chr16
ENSG0000000290	2.455735562671697	0.7995	97860	Chr11
ENSG0000000291	0.43135566919983426	0.5511	14654	Chr20
ENSG0000000292	7.566654458533712	0.7491	36400	Chr19
ENSG0000000293	-4.592134843725122	0.3524	48125	Chr14
ENSG0000000294	-4.21253223965368	0.7038	62077	Chr18
ENSG0000000295	-6.587038711040886	0.7525	58484	Chr7
ENSG0000000296	0.6694743186387192	0.6614	54369	Chr11
ENSG0000000297	-4.606368283984722	0.5097	5563	Chr16
ENSG0000000298	-3.760699347817989	0.3314	70474	Chr9
ENSG0000000299	-1.3351764873664496	0.6778	50130	Chr15
ENSG0000000300	-4.361095923128509	0.69	181	Chr2
ENSG0000000301	2.5492620317703683	0.5673	49649	Chr10
ENSG0000000302	3.248106072109426	0.6299	30344	Chr18
ENSG0000000303	-9.823862660663877	0.6882	60933	Chr8
ENSG0000000304	-5.776158309056376	0.6859	14378	Chr5
ENSG0000000305	-0.350166475448747	0.3102	22342	Chr19
ENSG0000000306	1.3446746837023973	0.4754	13573	Chr1
ENSG0000000307	4.865257759124829	0.655	43921	Chr6
ENSG0000000308	2.072353405337083	0.9308	27480	Chr1
ENSG0000000309	1.1993874063733396	0.3257	22744	Chr3
ENSG0000000310	5.798367376081432	0.2502	50103	Chr23
ENSG0000000311	2.308778041828024	0.3592	85861	Chr22
ENSG0000000312	-12.63957747074831	0.6201	30275	Chr1
ENSG0000000313	0.7235923440017837	0.7009	65333	Chr18
ENSG0000000314	1.5532867594909685	0.2267	29590	Chr5
ENSG0000000315	1.76809737991632	0.3572	17809	Chr3
ENSG0000000316	2.4039052662944798	0.3439	48344	Chr7
ENSG0000000317	1.5292955429958535	0.8836	8914	Chr15
ENSG0000000318	-5.307666318118715	0.7463	4911	Chr12
ENSG0000000319	3.8763335955811984	0.6021	81030	Chr5
ENSG0000000320	-3.8519109121254385	0.5617	15735	Chr16
ENSG0000000321	-1.0292348477938704	0.105	27572	Chr11
ENSG0000000322	3.067045083486595	0.331	75785	Chr13
ENSG0000000323	-6.846065010454613	0.3565	12932	Chr12
ENSG0000000324	-7.78093713057855	0.9406	12978	Chr22
ENSG0000000325	0.2372121817680546	0.1361	39181	Chr6
ENSG0000000326	-4.202594718472062	0.0531	35034	Chr20
ENSG0000000327	0.19167847187821563	0.38	28426	Chr3
ENSG0000000328	2.499895790065969	0.4777	26770	Chr7
ENSG0000000329	1.90521509820738	0.3666	30262	Chr21
ENSG0000000330	4.63836573514952	0.1719	119400	Chr11
ENSG0000000331	0.9059248238291175	0.5504	31379	Chr8
ENSG0000000332	-0.6303383602663449	0.8113	49057	Chr16
ENSG0000000333	-2.5867490287668393	0.6044	77856	Chr8
ENSG0000000334	2.4599854438407145	0.7692	53137	Chr3
ENSG0000000335	-8.655788530649032	0.1718	14245	Chr3
ENSG0000000336	2.7716421127829225	0.728	4323	Chr23
ENSG0000000337	8.513978777927582	0.0653	32515	Chr10
ENSG0000000338	1.932798776530153	0.7587	2556	Chr12
ENSG0000000339	2.3231726005054725	0.9959	19104	Chr23
ENSG0000000340	-1.2221547605534253	0.8072	88516	Chr1
ENSG0000000341	1.658021820862292	0.5146	31582	Chr3
ENSG0000000342	4.0749179790647405	0.0823	66043	Chr8
ENSG0000000343	2.089739682097983	0.9885	47156	Chr20
ENSG0000000344	3.741355435912018	0.4011	33048	Chr10
ENSG0000000345	-8.169048795219496	0.05	18679	Chr23
ENSG0000000346	-1.9301691798734109	0.1646	72497	Chr15
ENSG0000000347	-2.4371012357542337	0.6897	53786	Chr14
ENSG0000000348	6.248551980264016	0.3198	33784	Chr5
ENSG0000000349	-10.725069779228559	0.2749	30572	Chr20
ENSG0000000350	-0.6858818857541462	0.586	91320	Chr8
ENSG0000000351	0.20581789945336518	0.7833	36943	Chr3
ENSG0000000352	-1.2558486418751704	0.553	6038	Chr20
ENSG0000000353	3.7148374869087046	0.3589	5	Chr13
ENSG0000000354	0.020888853174224932	0.1708	33005	Chr22
ENSG0000000355	-0.5755891618555706	0.9012	5644	Chr10
ENSG0000000356	-1.2628118555862446	0.9772	52749	Chr5
ENSG0000000357	-9.403901591808498	0.8682	64338	Chr19
ENSG0000000358	8.66725268719402	0.3771	37219	Chr8
ENSG0000000359	1.1538969039620275	0.7611	9941	Chr16
ENSG0000000360	-1.8937078910890512	0.4563	19066	Chr20
ENSG0000000361	-2.475855197391197	0.3687	37609	Chr10
ENSG0000000362	1.460482860130754	0.3615	9412	Chr21
ENSG0000000363	10.190522109142188	0.9837	1972	Chr20
ENSG0000000364	-2.385018991349839	0.6642	99519	Chr9
ENSG0000000365	-9.141775783599796	0.1438	56409	Chr21
ENSG0000000366	6.000271807658545	0.5826	7434	Chr15
ENSG0000000367	-6.097139337517435	0.6818	37366	Chr9
ENSG0000000368	-1.3423059357167757	0.1745	29033	Chr11
ENSG0000000369	2.7363299749557775	0.6672	4887	Chr1
ENSG0000000370	1.0318080656794606	0.3344	36607	Chr14
ENSG0000000371	2.249366512938096	0.9754	48837	Chr6
ENSG0000000372	-6.253639253559028	0.9678	5886	Chr20
ENSG0000000373	-3.0601076249696617	0.831	15982	Chr8
ENSG0000000374	-0.04190384614067114	0.8862	9758	Chr23
ENSG0000000375	0.8250767688564813	0.7119	9646	Chr20
ENSG0000000376	-1.3489280430177861	0.6667	8255	Chr13
ENSG0000000377	-3.06329014896122	0.1103	13746	Chr12
ENSG0000000378	-1.7954478534793212	0.7177	11645	Chr7
ENSG0000000379	0.8107124076690276	0.355	6216	Chr20
ENSG0000000380	5.8444597528251085	0.8543	70980	Chr9
ENSG0000000381	4.511657034743678	0.601	7479	Chr12
ENSG0000000382	-1.467381043513427	0.7888	65349	Chr5
ENSG0000000383	5.553012484890533	0.2541	17284	Chr12
ENSG0000000384	2.207949647230073	0.0611	9357	Chr13
ENSG0000000385	10.25636252616154	0.0614	94211	Chr17
ENSG0000000386	-3.6942267324658213	0.8896	64493	Chr20
ENSG0000000387	-11.527896015577682	0.6106	65751	Chr4
ENSG0000000388	2.2132455735617818	0.1694	26191	Chr21
ENSG0000000389	2.32827721075629	0.6488	27088	Chr1
ENSG0000000390	1.1567222848765417	0.3366	31448	Chr5
ENSG0000000391	-1.0467767493398792	0.9505	50695	Chr22
ENSG0000000392	8.053702679733256	0.661	53476	Chr9
ENSG0000000393	8.374455849312481	0.2826	21782	Chr9
ENSG0000000394	-2.149510573531018	0.2448	1850	Chr20
ENSG0000000395	13.210516461208087	0.3563	48966	Chr4
ENSG0000000396	-1.8094569475557325	0.1938	50070	Chr16
ENSG0000000397	1.1454563419320798	0.2763	34439	Chr7
ENSG0000000398	-3.911362032399246	0.2935	18188	Chr6
ENSG0000000399	-0.884134655250327	0.9948	72533	Chr20
ENSG0000000400	-4.660638018964486	0.5176	2247	Chr13
ENSG0000000401	-8.663381682163362	0.7459	19758	Chr13
ENSG0000000402	-5.8133691416236655	0.1797	92306	Chr9
ENSG0000000403	5.187283570338069	0.3978	10399	Chr16
ENSG0000000404	8.751123859314353	0.563	39579	Chr23
ENSG0000000405	2.7890078592072816	0.7491	41868	Chr8
ENSG0000000406	-2.2631355644351694	0.1113	37900	Chr9
ENSG0000000407	5.844753526536843	0.4111	17420	Chr8
ENSG0000000408	0.5539067309088017	0.7804	10516	Chr21
ENSG0000000409	-10.049908779150872	0.8131	14676	Chr6
ENSG0000000410	-3.420212296408642	0.0243	40132	Chr11
ENSG0000000411	0.9892262196569291	0.2446	46331	Chr3
ENSG0000000412	2.6071836922449836	0.7965	91026	Chr8
ENSG0000000413	4.777546347970347	0.3292	11602	Chr2
ENSG0000000414	3.4496046378756438	0.2076	17775	Chr13
ENSG0000000415	2.375776061391605	0.7047	46699	Chr22
ENSG0000000416	2.960418411385425	0.9449	24687	Chr1
ENSG0000000417	-6.01063302362292	0.0187	6140	Chr5
ENSG0000000418	3.992963712676549	0.1859	15988	Chr19
ENSG0000000419	4.463225396367578	0.9349	97	Chr8
ENSG0000000420	7.420448537340779	0.8348	35510	Chr20
ENSG0000000421	-5.776530221192457	0.6962	31013	Chr18
ENSG0000000422	-4.59694509789324	0.479	36607	Chr3
ENSG0000000423	4.206951961995103	0.5671	14273	Chr17
ENSG0000000424	-4.838844177254517	0.1457	26526	Chr12
ENSG0000000425	3.7730607275093315	0.0589	32069	Chr9
ENSG0000000426	3.589505120077953	0.9819	59805	Chr4
ENSG0000000427	3.9865255918873217	0.2475	86312	Chr1
ENSG0000000428	7.5910100217064045	0.6828	84786	Chr20
ENSG0000000429	7.718632256563809	0.5427	80537	Chr16
ENSG0000000430	-7.912475321986555	0.4751	2792	Chr15
ENSG0000000431	5.042445571994115	0.2742	3430	Chr13
ENSG0000000432	-9.523574740006532	0.9436	2247	Chr15
ENSG0000000433	-14.39909974254771	0.6257	15607	Chr5
ENSG0000000434	1.6314442780283664	0.0921	29001	Chr3
ENSG0000000435	2.969276204081278	0.6672	32133	Chr4
ENSG0000000436	-0.13524981840330141	0.8472	29313	Chr4
ENSG0000000437	4.126395079214774	0.6493	15497	Chr18
ENSG0000000438	0.05783061189327012	0.5837	17032	Chr18
ENSG0000000439	-7.148530372056453	0.9161	26092	Chr4
ENSG0000000440	2.7483062327927072	0.4734	1166	Chr2
ENSG0000000441	1.4062175853036518	0.352	37041	Chr17
ENSG0000000442	-5.893430080230194	0.4664	37693	Chr16
ENSG0000000443	0.8382764952047467	0.8031	4384	Chr17
ENSG0000000444	-6.828309110129109	0.6075	42295	Chr19
ENSG0000000445	1.3548913970339538	0.3491	49129	Chr14
ENSG0000000446	-6.070173180668899	0.6046	19094	Chr12
ENSG0000000447	2.043571609439992	0.4635	97949	Chr16
ENSG0000000448	3.698245644570752	0.1018	87787	Chr23
ENSG0000000449	0.265145330476865	0.978	72005	Chr8
ENSG0000000450	8.726281469636861	0.366	18082	Chr22
ENSG0000000451	-8.431289296692238	0.536	96293	Chr9
